
Processing asymmErrorsEff.c...
eff_50_120_barrel.root
eleTruthEta
OK
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.971177; errorLow = 0.00342121; errorHigh = 0.00308411; xbin 2.2
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.693031; errorLow = 0.00652371; errorHigh = 0.00644849; xbin 2.6
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.955078; errorLow = 0.0030568; errorHigh =  0.00287624; xbin 2.6
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.729955; errorLow = 0.00852548; errorHigh = 0.00836253; xbin 2.6
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.978827; errorLow = 0.00303548; errorHigh = 0.00268159; xbin 2.6
eff_50_120_barrel.root; Seed barrel: eleTruthPhi; eff = 0.686914; errorLow = 0.0069166; errorHigh = 0.00683568; xbin 3
eff_50_120_barrel.root; UnSeed barrel: eleTruthPhi; eff =  0.962276; errorLow = 0.00299119; errorHigh =  0.00278661; xbin 3
eff_50_120_barrel.root; Seed endcap: eleTruthPhi; eff =  0.755823; errorLow = 0.00891371; errorHigh = 0.00870349; xbin 3
eff_50_120_barrel.root; UnSeed endcap: eleTruthPhi; eff = 0.970683; errorLow = 0.00378443; errorHigh = 0.00338397; xbin 3
OK
eff_50_120_barrel.root
eleTruthNrgy
OK
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.374424; errorLow = 0.00277854; errorHigh = 0.0027868; xbin 20
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.922567; errorLow = 0.00155806; errorHigh =  0.00153015; xbin 20
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.000660502; errorLow = 0.000546404; errorHigh = 0.00151719; xbin 20
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.659841; errorLow = 0.0126105; errorHigh = 0.0123937; xbin 20
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.858553; errorLow = 0.00169118; errorHigh = 0.00167457; xbin 60
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.979527; errorLow = 0.000701964; errorHigh =  0.000679529; xbin 60
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.134053; errorLow = 0.00441225; errorHigh = 0.00453612; xbin 60
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.964286; errorLow = 0.00255527; errorHigh = 0.00239568; xbin 60
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.92204; errorLow = 0.00315815; errorHigh = 0.00304746; xbin 100
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.98767; errorLow = 0.00138165; errorHigh =  0.00124994; xbin 100
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.706074; errorLow = 0.00439484; errorHigh = 0.0043572; xbin 100
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.976772; errorLow = 0.00152203; errorHigh = 0.00143313; xbin 100
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.953171; errorLow = 0.00756753; errorHigh = 0.00661838; xbin 140
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.989268; errorLow = 0.00427637; errorHigh =  0.00317756; xbin 140
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.888499; errorLow = 0.00306636; errorHigh = 0.00299538; xbin 140
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.978222; errorLow = 0.00147444; errorHigh = 0.00138557; xbin 140
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.966667; errorLow = 0.0138842; errorHigh = 0.0102806; xbin 180
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.99; errorLow = 0.00963147; errorHigh =  0.00543752; xbin 180
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.917671; errorLow = 0.00330437; errorHigh = 0.0031902; xbin 180
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.982329; errorLow = 0.00165952; errorHigh = 0.00152471; xbin 180
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.92437; errorLow = 0.032628; errorHigh = 0.0243073; xbin 220
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.991597; errorLow = 0.0190572; errorHigh =  0.0069527; xbin 220
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.905562; errorLow = 0.00451864; errorHigh = 0.00433729; xbin 220
eff_50_120_barrel.root; UnSeed endcap: eleTruthNrgy; eff = 0.977972; errorLow = 0.00238757; errorHigh = 0.0021686; xbin 220
eff_50_120_barrel.root; Seed barrel: eleTruthNrgy; eff = 0.944444; errorLow = 0.0511001; errorHigh = 0.0300835; xbin 260
eff_50_120_barrel.root; UnSeed barrel: eleTruthNrgy; eff =  0.981481; errorLow = 0.0412969; errorHigh =  0.0153245; xbin 260
eff_50_120_barrel.root; Seed endcap: eleTruthNrgy; eff =  0.869202; errorLow = 0.00726019; errorHigh = 0.00694235; xbin 260
